Report Date,Net Assets,Total Assets,Gross / Net,Effective Duration,Number of Positions,3M KRD,1Y KRD,5Y KRD,10Y KRD,30Y KRD,Government Related,Agency MBS,Non-Agency MBS,ABS / CLO,Credit & Loans,Municipal / Other,Cash & Repo,Rate Derivative Notional / NAV,FX Forward USD Notional / NAV,Derivative Count,High Quality Proxy,Spread Risk Proxy,Accession
2019-09-30,2711581715.48,2861070000.14,1.0551295518060895,4.955069473840868,776,0.0071458588835372734,0.8849955446742649,1.4830397082494489,1.4384184974154683,1.1414698646181476,0.05541641896958336,0.45838269462049475,0.11027285806121054,0.06118761741358183,0.29091559034863756,0.017700701598261294,0.006124118988230762,0.021939570236948956,0.00014346095409156377,9,0.5137991135900781,0.46237606582342994,0001450011-19-000494
2019-12-31,2909133032.02,3081441746.55,1.05923026297988,5.2920386340909555,805,0.004777069562319163,0.8331657768936765,1.7118229262764646,1.4818712013168476,1.2604016600416477,0.08591961005829228,0.42796914523747254,0.10293358892253335,0.05862445691093408,0.29778803893379163,0.01869574942321324,0.008069410513762816,0.0,0.0001343837891554051,9,0.5138887552957648,0.459346084767259,0001450011-20-000252
2020-03-31,2963128644.42,4124538584.36,1.3919539376486751,5.543797771583217,872,0.02903844144668997,0.8001050879868432,1.3969840453991664,1.6239785053955724,1.6936916913549465,0.0897368590271041,0.4070224474064037,0.08552636023326546,0.0463160435776979,0.2676611266864867,0.017856985503215034,0.08588017756582704,0.06881240218306862,0.00013304270496064297,20,0.4967593064335078,0.39950353049745,0001450011-20-000483
2020-06-30,3389616875.68,4769950766.94,1.4072241618702372,5.7014625232307425,946,0.038857025233442415,0.7267261265820275,1.7193132480882127,1.654886597820787,1.5616795255062734,0.09767399451114156,0.42291974010058797,0.10415896330105123,0.04569813194861392,0.29055386055894805,0.016383364081696047,0.022611945497961198,0.05276499260528369,0.00011615575578022047,9,0.5205937346117295,0.4404109558086132,0001450011-20-000651
2020-09-30,3724381989.92,5151600079.88,1.3832093737491886,5.30981770018837,986,0.029999523032920684,0.7927645967145871,1.7099712066905355,1.3394622550564843,1.4376201186938424,0.06410796286905496,0.41820279214435163,0.11077978559792268,0.046575974834785025,0.29896193762574236,0.0154505484929524,0.04592099843519086,0.06429275293406288,0.0016451469630620814,13,0.4823107550134066,0.45631769805845007,0001450011-20-000856
2020-12-31,4126347027.45,6586826731.2,1.5962852099888767,5.396802511283655,1063,0.02500226100317979,0.7479886141295709,1.5649718286614103,1.6883201564932886,1.3705196509962045,0.09298034246730051,0.3746434817222941,0.11816036147675087,0.0586724251092008,0.2994710284172733,0.016574813872867477,0.03949754693431297,0.05997527417196827,0.0006887510917268428,10,0.46762382418959464,0.47630381500322494,0001450011-21-000118
2021-03-31,4144016572.85,6729430704.62,1.6238908764768551,5.890178878433633,1127,0.028117644705717166,0.5901576780707831,2.5114382161634072,1.7540200893262945,1.0064452501674315,0.1782737898684013,0.3076802232751702,0.11779882950974732,0.08187049163498855,0.29910636555090936,0.015270300160783198,0.0,0.33410947241646477,0.0011944115915047914,40,0.4859540131435715,0.4987756866956452,0001450011-21-000346
2021-06-30,4282889290.08,6132654819.69,1.431896648343074,5.8785110289530085,1119,0.039179341550728164,0.6183672490984539,2.1467311243313185,1.8597822411658036,1.2144510728067044,0.20542827100179864,0.24749907478686178,0.12355343573611044,0.08033843931649076,0.31867746212662573,0.016291942426118224,0.008211374605994404,0.3434702979638594,0.0007580632932819413,28,0.45292734578866045,0.5225693371792269,0001450011-21-000550
2021-09-30,4303600598.09,6125266620.86,1.4232888208953407,5.823664675477367,1180,0.029310681085503942,0.6116587822062921,2.2939957259931445,1.7785122988125244,1.1101871873799016,0.223328583581459,0.20250712944327048,0.11913978313065395,0.08666885032404088,0.34189531509056126,0.01580603962244301,0.010654298807571391,0.3708543987581775,0.0015857373063450076,50,0.42583571302472945,0.5477039485452561,0001450011-21-000688
2021-12-31,4387534992.14,5947064097.93,1.355445394414814,5.866513745631841,1218,0.009934166974869159,0.6049741541925242,2.250232046968702,1.894859213495412,1.1065141640003329,0.2545570597086583,0.19040822169206403,0.1179674265093902,0.08279634136752423,0.3333465353852392,0.018926027570772042,0.001998387766352062,0.3540504382307688,0.008137325141328644,78,0.44496528140072233,0.5341103032621536,0001450011-22-000127
2022-03-31,3888842245.08,5370246002.66,1.3809369638108129,6.289068387575305,1278,0.0074177076651785285,0.6538042109387998,2.5993073011584853,2.1671023291474842,0.8614368386653559,0.22326053611675586,0.19855577956147688,0.12128607965940927,0.08745084580561223,0.3513384403479916,0.017264404140683594,0.0008439143680704185,0.20559061830587388,0.010134192663603216,108,0.42181631567823274,0.5600753658130131,0001450011-22-000244
2022-06-30,3224891446.44,4642678439.63,1.4396386721032466,6.170121807093889,1203,-0.00012432722361635005,0.6079735857913562,2.6970833500245774,2.2802144848247723,0.5849747136767999,0.1379879862105583,0.2527717860771448,0.130039297671412,0.09698915146481014,0.34735577279396024,0.017334313888659116,0.01752169189345543,0.2094482346981433,0.00962736312078765,66,0.3907597722877031,0.5743842219301825,0001450011-22-000464
