,SHY,IEF,TLT,TIP,LQD,HYG,MBB,BOND,AGG,MOVE,JAAA,BKLN,CMBS,SGOV,BIL,USFR
2002-07-30,51.33164978027344,40.556915283203125,35.976646423339844,,36.82939529418945,,,,,,,,,,,
2002-07-31,51.49006271362305,40.92886734008789,36.42235565185547,,37.054656982421875,,,,,,,,,,,
2002-08-01,51.591400146484375,41.09751892089844,36.629798889160156,,37.417938232421875,,,,,,,,,,,
2002-08-02,51.69281768798828,41.41498565673828,37.00489807128906,,37.49424362182617,,,,,,,,,,,
2002-08-05,51.77517318725586,41.623287200927734,37.168190002441406,,37.40340805053711,,,,,,,,,,,
2002-08-06,51.6484489440918,41.28601837158203,36.85043716430664,,37.27627944946289,,,,,,,,,,,
2002-08-07,51.724464416503906,41.41498565673828,36.938724517822266,,37.38160705566406,,,,,,,,,,,
2002-08-08,51.6484489440918,41.2711181640625,36.938724517822266,,37.2725944519043,,,,,,,,,,,
2002-08-09,51.661109924316406,41.578636169433594,37.4594612121582,,37.4216194152832,,,,,,,,,,,
2002-08-12,51.65483093261719,41.66297149658203,37.6889762878418,,37.47243881225586,,,,,,,,,,,
2002-08-13,51.74348831176758,41.995235443115234,38.15237045288086,,37.78129196166992,,,,,,,,,,,
2002-08-14,51.62946319580078,41.87126541137695,38.297950744628906,,37.7957878112793,,,,,,,,,,,
2002-08-15,51.585060119628906,41.628257751464844,37.96260070800781,,37.68320846557617,,,,,,,,,,,
2002-08-16,51.55336380004883,41.35541915893555,37.53889846801758,,37.50149917602539,,,,,,,,,,,
2002-08-19,51.559749603271484,41.39514923095703,37.653629302978516,,37.71226119995117,,,,,,,,,,,
2002-08-20,51.68009567260742,41.77705001831055,38.072906494140625,,38.11551284790039,,,,,,,,,,,
2002-08-21,51.63581848144531,41.67287063598633,37.8698844909668,,38.166412353515625,,,,,,,,,,,
2002-08-22,51.57875061035156,41.44968032836914,37.53889846801758,,38.11191177368164,,,,,,,,,,,
2002-08-23,51.642120361328125,41.638118743896484,37.90962219238281,,38.22087478637695,,,,,,,,,,,
2002-08-26,51.63581848144531,41.65797805786133,37.9449577331543,,38.260833740234375,,,,,,,,,,,
2002-08-27,51.59775924682617,41.53399658203125,37.70658493041992,,38.166412353515625,,,,,,,,,,,
2002-08-28,51.63581848144531,41.68775939941406,37.896392822265625,,38.23902893066406,,,,,,,,,,,
2002-08-29,51.69281768798828,41.881187438964844,38.20092010498047,,38.380714416503906,,,,,,,,,,,
2002-08-30,51.711849212646484,41.960548400878906,38.43037414550781,,38.40258026123047,,,,,,,,,,,
2002-09-03,51.83430862426758,42.41843032836914,39.02124786376953,,38.58477783203125,,,,,,,,,,,
2002-09-04,51.815284729003906,42.403499603271484,39.012351989746094,,38.727195739746094,,,,,,,,,,,
2002-09-05,51.87240982055664,42.57271194458008,39.225059509277344,,38.83677291870117,,,,,,,,,,,
2002-09-06,51.770843505859375,42.24424362182617,38.76415252685547,,38.57383346557617,,,,,,,,,,,
2002-09-09,51.700984954833984,42.184471130371094,38.70650100708008,,38.59939956665039,,,,,,,,,,,
2002-09-10,51.73283386230469,42.33381652832031,38.892669677734375,,38.763755798339844,,,,,,,,,,,
2002-09-11,51.700984954833984,42.179542541503906,38.688777923583984,,38.71261978149414,,,,,,,,,,,
2002-09-12,51.73910903930664,42.39851760864258,38.99017333984375,,38.91347885131836,,,,,,,,,,,
2002-09-13,51.777191162109375,42.59761428833008,39.349220275878906,,38.97920227050781,,,,,,,,,,,
2002-09-16,51.75821304321289,42.61252975463867,39.41565704345703,,39.13259506225586,,,,,,,,,,,
2002-09-17,51.79622268676758,42.7518196105957,39.491024017333984,,39.161834716796875,,,,,,,,,,,
2002-09-18,51.78988265991211,42.80164337158203,39.499881744384766,,39.11433792114258,,,,,,,,,,,
2002-09-19,51.897804260253906,43.01565933227539,39.765804290771484,,39.11433792114258,,,,,,,,,,,
2002-09-20,51.90409851074219,43.000736236572266,39.57965850830078,,39.13259506225586,,,,,,,,,,,
2002-09-23,51.91679000854492,43.24459457397461,39.93423080444336,,39.01203918457031,,,,,,,,,,,
2002-09-24,51.94221878051758,43.39887619018555,40.19130325317383,,39.004798889160156,,,,,,,,,,,
2002-09-25,51.891441345214844,43.070369720458984,39.7037353515625,,38.92441177368164,,,,,,,,,,,
2002-09-26,51.91047286987305,43.040531158447266,39.61069869995117,,38.968231201171875,,,,,,,,,,,
2002-09-27,52.01839065551758,43.324222564697266,39.90764236450195,,39.2786750793457,,,,,,,,,,,
2002-09-30,52.09451675415039,43.57802963256836,40.06721878051758,,39.205665588378906,,,,,,,,,,,
